1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 2900000027F37C21
Is Mission Active?  false
Mission Start:  Mon Sep 14 13:01:00 MST 2015
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  2157
Total Samples:  7031
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
9/14/15 1:01:00 PM,C,7.5
9/14/15 5:01:00 PM,C,8
9/14/15 9:01:00 PM,C,7
9/15/15 1:01:00 AM,C,6.5
9/15/15 5:01:00 AM,C,6
9/15/15 9:01:00 AM,C,6
9/15/15 1:01:00 PM,C,6.5
9/15/15 5:01:00 PM,C,7
9/15/15 9:01:00 PM,C,6
9/16/15 1:01:00 AM,C,5.5
9/16/15 5:01:00 AM,C,5
9/16/15 9:01:00 AM,C,5.5
9/16/15 1:01:00 PM,C,6.5
9/16/15 5:01:00 PM,C,7.5
9/16/15 9:01:00 PM,C,6
9/17/15 1:01:00 AM,C,5.5
9/17/15 5:01:00 AM,C,5
9/17/15 9:01:00 AM,C,5
9/17/15 1:01:00 PM,C,6.5
9/17/15 5:01:00 PM,C,8
9/17/15 9:01:00 PM,C,6
9/18/15 1:01:00 AM,C,5
9/18/15 5:01:00 AM,C,4.5
9/18/15 9:01:00 AM,C,4.5
9/18/15 1:01:00 PM,C,6.5
9/18/15 5:01:00 PM,C,8
9/18/15 9:01:00 PM,C,6
9/19/15 1:01:00 AM,C,4.5
9/19/15 5:01:00 AM,C,4
9/19/15 9:01:00 AM,C,4.5
9/19/15 1:01:00 PM,C,7
9/19/15 5:01:00 PM,C,8.5
9/19/15 9:01:00 PM,C,6.5
9/20/15 1:01:00 AM,C,5
9/20/15 5:01:00 AM,C,4.5
9/20/15 9:01:00 AM,C,4.5
9/20/15 1:01:00 PM,C,7
9/20/15 5:01:00 PM,C,9
9/20/15 9:01:00 PM,C,7
9/21/15 1:01:00 AM,C,5.5
9/21/15 5:01:00 AM,C,5
9/21/15 9:01:00 AM,C,4.5
9/21/15 1:01:00 PM,C,8
9/21/15 5:01:00 PM,C,9.5
9/21/15 9:01:00 PM,C,7
9/22/15 1:01:00 AM,C,6.5
9/22/15 5:01:00 AM,C,6
9/22/15 9:01:00 AM,C,6
9/22/15 1:01:00 PM,C,7
9/22/15 5:01:00 PM,C,7.5
9/22/15 9:01:00 PM,C,6
9/23/15 1:01:00 AM,C,6
9/23/15 5:01:00 AM,C,5.5
9/23/15 9:01:00 AM,C,5
9/23/15 1:01:00 PM,C,7
9/23/15 5:01:00 PM,C,8.5
9/23/15 9:01:00 PM,C,6.5
9/24/15 1:01:00 AM,C,5.5
9/24/15 5:01:00 AM,C,5
9/24/15 9:01:00 AM,C,4.5
