"DateTime","Temperature","Light"
"9/16/13 1:01:00 PM","7.5",""
"9/16/13 5:01:00 PM","8.5",""
"9/16/13 9:01:00 PM","8.5",""
"9/17/13 1:01:00 AM","8",""
"9/17/13 5:01:00 AM","7.5",""
"9/17/13 9:01:00 AM","7",""
"9/17/13 1:01:00 PM","8",""
"9/17/13 5:01:00 PM","9.5",""
"9/17/13 9:01:00 PM","9",""
"9/18/13 1:01:00 AM","8.5",""
"9/18/13 5:01:00 AM","8",""
"9/18/13 9:01:00 AM","8",""
"9/18/13 1:01:00 PM","8.5",""
"9/18/13 5:01:00 PM","8.5",""
"9/18/13 9:01:00 PM","7.5",""
"9/19/13 1:01:00 AM","7",""
"9/19/13 5:01:00 AM","7",""
"9/19/13 9:01:00 AM","7",""
"9/19/13 1:01:00 PM","7.5",""
"9/19/13 5:01:00 PM","8.5",""
"9/19/13 9:01:00 PM","8.5",""
"9/20/13 1:01:00 AM","7.5",""
"9/20/13 5:01:00 AM","6.5",""
"9/20/13 9:01:00 AM","6",""
"9/20/13 1:01:00 PM","7",""
"9/20/13 5:01:00 PM","8",""
"9/20/13 9:01:00 PM","8",""
"9/21/13 1:01:00 AM","7.5",""
"9/21/13 5:01:00 AM","7",""
"9/21/13 9:01:00 AM","7",""
"9/21/13 1:01:00 PM","7",""
"9/21/13 5:01:00 PM","7.5",""
"9/21/13 9:01:00 PM","7.5",""
"9/22/13 1:01:00 AM","7.5",""
"9/22/13 5:01:00 AM","7",""
"9/22/13 9:01:00 AM","7",""
"9/22/13 1:01:00 PM","6.5",""
"9/22/13 5:01:00 PM","6.5",""
"9/22/13 9:01:00 PM","6",""
"9/23/13 1:01:00 AM","5.5",""
"9/23/13 5:01:00 AM","5",""
"9/23/13 9:01:00 AM","5",""
"9/23/13 1:01:00 PM","4.5",""
"9/23/13 5:01:00 PM","4.5",""
"9/23/13 9:01:00 PM","4.5",""
"9/24/13 1:01:00 AM","4.5",""
"9/24/13 5:01:00 AM","4",""
"9/24/13 9:01:00 AM","4",""
"9/24/13 1:01:00 PM","4",""
"9/24/13 5:01:00 PM","5.5",""
"9/24/13 9:01:00 PM","5.5",""
"9/25/13 1:01:00 AM","5",""
"9/25/13 5:01:00 AM","5",""
"9/25/13 9:01:00 AM","4.5",""
"9/25/13 1:01:00 PM","5",""
"9/25/13 5:01:00 PM","6",""
