"DateTime","Temperature","Light"
"10/1/13 1:01:00 PM","10.5",""
"10/1/13 5:01:00 PM","13",""
"10/1/13 9:01:00 PM","10.5",""
"10/2/13 1:01:00 AM","9",""
"10/2/13 5:01:00 AM","8",""
"10/2/13 9:01:00 AM","8",""
"10/2/13 1:01:00 PM","10.5",""
"10/2/13 5:01:00 PM","12.5",""
"10/2/13 9:01:00 PM","10",""
"10/3/13 1:01:00 AM","9",""
"10/3/13 5:01:00 AM","8.5",""
"10/3/13 9:01:00 AM","8",""
"10/3/13 1:01:00 PM","10.5",""
"10/3/13 5:01:00 PM","12",""
"10/3/13 9:01:00 PM","11",""
"10/4/13 1:01:00 AM","9",""
"10/4/13 5:01:00 AM","8",""
"10/4/13 9:01:00 AM","6.5",""
"10/4/13 1:01:00 PM","7.5",""
"10/4/13 5:01:00 PM","9",""
"10/4/13 9:01:00 PM","6.5",""
"10/5/13 1:01:00 AM","5.5",""
"10/5/13 5:01:00 AM","5",""
"10/5/13 9:01:00 AM","5",""
"10/5/13 1:01:00 PM","7",""
"10/5/13 5:01:00 PM","9",""
"10/5/13 9:01:00 PM","6.5",""
"10/6/13 1:01:00 AM","5",""
"10/6/13 5:01:00 AM","4.5",""
"10/6/13 9:01:00 AM","4.5",""
"10/6/13 1:01:00 PM","7",""
"10/6/13 5:01:00 PM","9.5",""
"10/6/13 9:01:00 PM","8",""
"10/7/13 1:01:00 AM","6.5",""
"10/7/13 5:01:00 AM","6",""
"10/7/13 9:01:00 AM","6",""
"10/7/13 1:01:00 PM","9",""
"10/7/13 5:01:00 PM","10.5",""
"10/7/13 9:01:00 PM","9",""
"10/8/13 1:01:00 AM","8",""
"10/8/13 5:01:00 AM","7",""
"10/8/13 9:01:00 AM","7",""
"10/8/13 1:01:00 PM","10",""
"10/8/13 5:01:00 PM","11",""
"10/8/13 9:01:00 PM","9.5",""
"10/9/13 1:01:00 AM","8.5",""
"10/9/13 5:01:00 AM","7.5",""
"10/9/13 9:01:00 AM","8",""
"10/9/13 1:01:00 PM","10",""
"10/9/13 5:01:00 PM","11",""
"10/9/13 9:01:00 PM","10",""
"10/10/13 1:01:00 AM","9.5",""
"10/10/13 5:01:00 AM","9",""
"10/10/13 9:01:00 AM","8.5",""
"10/10/13 1:01:00 PM","6.5",""
"10/10/13 5:01:00 PM","6.5",""
"10/10/13 9:01:00 PM","6",""
"10/11/13 1:01:00 AM","6",""
"10/11/13 5:01:00 AM","6",""
"10/11/13 9:01:00 AM","6",""
"10/11/13 1:01:00 PM","8",""
"10/11/13 5:01:00 PM","9",""
"10/11/13 9:01:00 PM","7",""
"10/12/13 1:01:00 AM","5.5",""
"10/12/13 5:01:00 AM","5",""
"10/12/13 9:01:00 AM","4.5",""
"10/12/13 1:01:00 PM","6.5",""
