LongID,SensorID,zero-pt,Type,Notes_start,starting lifetime cycles,start_datetime,logging frequency,Estimated time full,date deployed,Location,Mapped?,deployment notes,AdvJuv,app height,Flag,Flag_description,Rollover,collected
14_284D7121,T18L2_2014,0,1 use low capacity T,,1539,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-M-D,,adult PIPO LOW (but HIGH missing?) tree 3,Ad,2.5,N,,Y,07/01/15
04_284FDB21,T18L1_2014,0,1 use low capacity T,,2643,6/19/14 1:00pm,4 hrs,early june 2015,6/19,POTR-L-B,,POTR sapling,Juv,1,N,,Y,06/30/15
4E_2855A521,T19L_2014,0,1 use low capacity T,,2686,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-L-C,,juv PIPO,Juv,1.3,N,,Y,07/01/15
36_2846A821,T20L_2014,0,1 use low capacity T,,2649,6/19/14 1:00pm,4 hrs,early june 2015,6/18,PIPO-M-B,,sapling PIPO,Juv,1,N,,Y,07/01/15
7E_1DB11B41,T1H_2014,0.05,1 use high capacity T,,243,6/19/14 1:00pm,2 hrs,"May, 2016",6/19,POTR-M-A,,adult POTR,Ad,6,N,,N,07/01/15
ED_1DAFA641,T2H_2014,0.09,1 use high capacity T,,242,6/19/14 1:00pm,2 hrs,"May, 2016",6/18,PIPO-L-D,,"adult PIPO, LOW profile",Ad,3,N,,N,07/01/15
AC_1DB24D41,T3H_2014,0.06,1 use high capacity T,,242,6/19/14 1:00pm,2 hrs,"May, 2016",6/19,POTR-L-D,,"in PSME, same as 2013 in H-3H, PSME N of trees",Ad,8,N,,N,06/30/15
86_B39CO41,T4H_2014,0.04,1 use high capacity T,,244,6/19/14 1:00pm,2 hrs,"May, 2016",6/20,ABLA-H-A ,,FAILED,Ad,2,N,Failed,N,07/02/15
70_B3B8041,T5H_2014,0.61,1 use high capacity T,,247,6/19/14 1:00pm,2 hrs,"May, 2016",6/18,PIPO-M-C,,adult pipo,Ad,11,N,,N,07/01/15
B6_B832541,T6H_2014,-0.42,1 use high capacity T,,117,6/19/14 1:00pm,2 hrs,"May, 2016",6/18,PIPO-L-B,,juniper,Ad,2,N,,N,07/01/15
F5_1DAA0F41,T7H_2014,0.54,1 use high capacity T,,253,6/19/14 1:00pm,2 hrs,"May, 2016",6/19,ABLA-L-A,,adult ABLA,Ad,9,N,,N,07/02/15
60_1AB07241,T8H_2014,0.06,1 use high capacity T,,252,6/19/14 1:00pm,2 hrs,"May, 2016",6/20,POTR-H-C,,POTR,Ad,6,N,,N,06/29/15
7C_1DB10841,T9H_2014,0.038,1 use high capacity T,,252,6/19/14 1:00pm,2 hrs,"May, 2016",6/18,POTR-L-A,,adult oak,Ad,3,N,,N,06/30/15
9E_B74B741,T10H_2014,0.14,1 use high capacity T,,253,6/19/14 1:00pm,2 hrs,"May, 2016",6/20,ABLA-H-C ,,adult PIEN,Ad,3,N,,N,07/02/15
A2_1DB23441,T11H_2014,0,1 use high capacity T,,258,6/19/14 1:00pm,2 hrs,"May, 2016",6/19,PIPO-H-C,,fell out and found on ground. prob in fall some time because got covered with snow and then high variance in spring,Ad,unkown,Y,fell out in fall,,06/30/15
10_1DAF0E41,T12H_2014,0.5,1 use high capacity T,,254,6/19/14 1:00pm,2 hrs,"May, 2016",6/19,POTR-M-D,,juv POTR,Juv,5,N,,N,06/30/15
47_1DB16341,T13H_2014,0.018,1 use high capacity T,,5611,6/19/14 1:00pm,2 hrs,"May, 2016",6/18,PIPO-M-E,,adult PIPO,Ad,6,N,,N,07/01/15
4D_1DB13C41,T14H_2014,0.035,1 use high capacity T,,5614,6/19/14 1:00pm,2 hrs,"May, 2016",6/18,PIPO-L-C,,adult juniper,Ad,2.5,N,,N,07/01/15
D4_1AE79141,T15H_2014,0.099,1 use high capacity T,,5613,6/19/14 1:00pm,2 hrs,"May, 2016",6/18,PIPO-M-B,,"adult PIPO, May have been touching cone",Ad,3,Y,touching cone?,N,07/01/15
93_1ACC9B41,H1_2014,0.584,1 use humidity,,17090,6/19/14 1:00pm,2 hrs,early june 2015,6/18,PIPO-L-A,,ad PIPO,Ad,10,N,,N,08/27/15
28_1ABDD941,H2_2014,0.035,1 use humidity,,12716,6/19/14 1:00pm,2 hrs,early june 2015,6/18,PIPO-L-E,,"adult PIPO, same loc as 2013",Ad,9,N,,N,07/01/15
63_214AA241,H3_2014,0.047,1 use humidity,,10234,6/19/14 1:00pm,2 hrs,early june 2015,6/18,PIPO-M-A,,NOT IN FUNNEL adultu PIPO,Ad,11,Y,lost shield,N,
A6_21E9341,H4_2014,0.038,1 use humidity,,10072,6/19/14 1:00pm,2 hrs,early june 2015,6/18,PIPO-H-B,,"T1/H-5H, same loc as T sensor in 2013, 8m up",undercanopy,8,N,,,06/30/15
5C_214E8B41,H5_14,0.611,1 use humidity,,9214,6/19/14 1:00pm,2 hrs,early june 2015,6/20,POTR-H-D,,"Adult, went until 5/26/15, ABLA-L-B",Ad,,Y,lost until 2019,Y,09/14/19
B2_21B17721,T21L_14,0,1 use low capacity T,,7747,7/3/14 1:00pm,2 hrs,,,POTR-L-B,,height profile LOW in adult PIPO,Ad,8,N,,Y,06/30/15
29_27F37C21,T22L_14,0,1 use low capacity T,,2541,7/3/14 1:00pm,2 hrs,,,ABLA-H-D,,SOIL,SOIL,0,N,,N,07/02/15
75_21AE3F21,T23L_14,0,1 use low capacity T,,6796,7/3/14 1:00pm,2 hrs,,,ALBA-L-Bsoil,,soil underneath PIEN,SOIL,0,N,,Y,07/02/15
19_2850A221,T24L_14,0,1 use low capacity T,,383,7/3/14 1:00pm,2 hrs,,28-Jun,PIPO-L-D,,Height profile tree 13,Ad,8.16,N,,Y,07/01/15
F3_21CAD721,T25L_14,0,1 use low capacity T,,6768,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
F1_218AD221,T26L_14,0,1 use low capacity T,,4708,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
27_27F13721,T27L_14,0.5,1 use low capacity T,,3342,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
38_21597521,T28L_14,0,1 use low capacity T,,7739,7/3/14 1:00pm,2 hrs,,,POTR-H-Bsoil,,soil sensor,NA,0,N,,N,06/29/15
D2_21AA6621,T29L_14,0,1 use low capacity T,,6617,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
7E_27F21F21,T30L_14,0,1 use low capacity T,,2544,7/3/14 1:00pm,2 hrs,,,ABLA-L-A,,juv abla,Juv,1.5,N,,Y,07/02/15
7D_27F96A21,T31L_14,0.5,1 use low capacity T,,3566,7/3/14 1:00pm,2 hrs,,,POTR-H-C,,juv ABLA,Juv,1,N,,Y,06/29/15
83_21A5AE21,T32L_14,0,1 use low capacity T,,6669,7/3/14 1:00pm,2 hrs,,,ABLA-M-A,,juv ABLA,Juv,1.8,N,,Y,07/02/15
A2_214BAD21,T33L_14,0,1 use low capacity T,,6608,7/3/14 1:00pm,2 hrs,,,PIPO-M-D,,"juv PIPO,fairly sunny",Juv,1.3,Y,sunny?,Y,07/01/15
2E_21AD0421,T34L_14,0,1 use low capacity T,,5794,7/3/14 1:00pm,2 hrs,,,ABLA-L-B,,"height profile, adult PIEN, height profile but unkown height and chewed down by squirel at unkown date",Ad,,Y,"fell and chewed by squirrel, unknown date",,
CD_21561621,T35L_14,0,1 use low capacity T,,6698,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
AD_27EEC221,T36L_14,0.5,1 use low capacity T,,2517,7/3/14 1:00pm,2 hrs,,,ABLA-L-B,,"height profile, adult PIEN, height unkown, hit ground at unknown time, prob before snow",Ad,??,Y,"fell, prob before snow",Y,08/20/15
32_21ACEF21,T37L_14,0,1 use low capacity T,,5513,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
43_217F1121,T38L_14,0,1 use low capacity T,,4704,7/3/14 1:00pm,2 hrs,,,Cabin,,,,,N,,Y,10/01/15
D0_21AA7521,T39L_14,0,1 use low capacity T,,7451,7/3/14 1:00pm,2 hrs,,6/28/14,PIPO-L-D,,"MIDheight profile of tree 13, 29.8 @ dist 20",Ad,5.96,N,,Y,07/01/15
66_21374521,T40L_14,0,1 use low capacity T,,4709,7/3/14 1:00pm,2 hrs,,,ABLA-L-B,,FELL OUT OF TREE,Ad,??,Y,,Y,06/29/15
EE_2156A921,T41L_14,0,1 use low capacity T,,7456,7/3/14 1:00pm,2 hrs,,,PIPO-M-C,,,Juv,1.5,N,,Y,07/01/15
46_27F81821,T42L_14,0,1 use low capacity T,,3573,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
46_21BAF521,T43L_14,0,1 use low capacity T,,4708,7/3/14 1:00pm,2 hrs,,,PIPO-H-E,,east side of tree and touching cone,Juv,1.8,Y,,Y,06/30/15
F2_21484C21,T44L_14,0,1 use low capacity T,,6848,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
92_219CE021,T45L_14,0,1 use low capacity T,,6618,7/3/14 1:00pm,2 hrs,,,POTR-H-Asoil,,SOIL,soil,0,N,,Y,07/02/15
ED_2138BC21,T46L_14,0,1 use low capacity T,,6614,7/3/14 1:00pm,2 hrs,,,Cabin,,,,,,,,10/01/15
91_21BFD421,T47L_14,0,1 use low capacity T,,5648,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
7A_21ABBE21,T48L_14,0,1 use low capacity T,,7743,7/3/14 1:00pm,2 hrs,,,POTR-L-B,,sapling PIPU,Juv,0.1,N,,Y,06/30/15
C5_21AF3321,T49L_14,0,1 use low capacity T,,4702,7/3/14 1:00pm,2 hrs,,,PIPO-H-Bsoil,,soil,soil,0,N,,Y,08/24/15
45_21ACBC21,T50L_14,0,1 use low capacity T,,7238,7/3/14 1:00pm,2 hrs,,,PIPO-L-C,,soil,soil,0,N,,Y,06/30/15
7B_21C80D21,T51L_14,0,1 use low capacity T,,7468,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
32_21842C21,T52L_14,0,1 use low capacity T,,7475,7/3/14 1:00pm,2 hrs,,,POTR-L-B,,height profile HIGH 15-20m,Ad,17,N,,Y,06/30/15
F9_27F20B21,T53L_14,0,1 use low capacity T,,3345,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
2B_2195ED21,T54L_14,0,1 use low capacity T,,4715,7/3/14 1:00pm,2 hrs,,,PIPO-L-E,,juv PIPO,Juv,1.3,N,,N,06/30/15
8A_21467D21,T55L_14,0,1 use low capacity T,,7496,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
CE_21579921,T56L_14,0,1 use low capacity T,,7741,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
0A_27F0EB21,T57L_15,0.5,1 use low capacity T,,2541,7/3/14 1:00pm,2 hrs,,,,,,,,,,,
AB_215AF421,T58L_14,0,1 use low capacity T,,6784,7/3/14 1:00pm,2 hrs,,,POTR-H-A,,POTR sapling,Juv,1.8,N,,Y,07/01/15
A9_2164FB21,T59L_14,0,1 use low capacity T,,6654,8/13/14 1:00pm,2 hrs,,,PIPO-L-D,,soil,sol,0,N,,Y,08/27/15
C7_21AB4421,T60L_14,0,1 use low capacity T,,7733,7/3/14 1:00pm,2 hrs,,,POTR-L-C,,POTR sapling,Juv,1.7,N,,Y,06/30/15
21_215A0F21,T61L_14,0,1 use low capacity T,,4711,7/3/14 1:00pm,2 hrs,,,POTR-M-C,,POTR adult,Ad,15,N,,,
C2_21823D21,T62L_14,0,1 use low capacity T,,5846,7/3/14 1:00pm,2 hrs,,6/28/14,PIPO-L-D,,height profile tree 13,,11.56,,,,
85_219A9E21,T63L_14,0,1 use low capacity T,,6827,7/3/14 1:00pm,2 hrs,,,PIPO-L-Asoil,,soil,soil,0,N,,Y,08/27/15
